Year,Month,Day,Tsu,ErthQuk,VolcanoName,VolcanoLocation,VolcanoCountry,VolcanoLatitude,VolcanoLongitude,VolcanoElevation,VolcanoType,EruptionVEI,EruptionAgent,NumberDeaths,Deaths,NumberInjuries,Injuries,Damage$,Damage,De_C,data,Stratovolcano
2013,2,12, , ,Merapi,Java,Indonesia,-7.542,110.442,2947,5, ,M,1,1,1,1, ,1, , ,1
2017,12,18, , ,Merapi,Java,Indonesia,-7.542,110.442,2947,5, ,A,8,1,8,1, , , , ,1
2000,6,27,Tsu,Eq,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,815,5,2, , , , , , ,1, , ,1
2011,6,22, , ,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,5,3, ,31,1, ,3, ,1, , ,1
2002,1,17, , ,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,5,1, ,100,2,400,3, ,3,3, ,1
2013,2, , , ,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,5, , , , , , , ,1,1, ,1
2013,8,10, , ,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,5,3, ,5,1, , , , , , ,1
2011,6,4, , ,Puyehue,Chile-C,Chile,-40.59,-72.117,2236,5,4, , , , , , ,2, , ,1
2006,3,17, , ,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,5, , ,1,1, , , , , , ,1
2009,3,23, , ,Redoubt,Alaska-SW,United States,60.48,-152.75,3108,5, , , , , , , ,1, , ,1
2002,11,3, , ,Reventador,Ecuador,Ecuador,-.078,-77.656,3562,5,4,I, ,1, ,1, ,1,1, ,1
2016,9,27, , ,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,5, , , , , , , , , , ,1
2013,9,4, , ,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,5, , , , , , , ,1, , ,1
2007,7,7, , ,Salak,Java,Indonesia,-6.72,106.73,2211,5, ,G,6,1, , , , , , ,1
2005,10,1, , ,Santa Ana,El Salvador,El Salvador,13.853,-89.63,2365,5,3,A,2,1, ,1, , , , ,1
2010,5,29,Tsu,Eq,Sarigan,Mariana Is-C Pacific,United States,16.708,145.78,538,5, , , , , , , , , , ,1
2000,7,27, , ,Semeru,Java,Indonesia,-8.108,112.92,3676,5,3,T,2,1, , , , , , ,1
2002, , , , ,Semeru,Java,Indonesia,-8.108,112.92,3676,5,3,T,3,1, , , , , , ,1
2010,8,30, , ,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,5, , ,2,1, , , , , , ,1
2013,9,15, , ,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,5,2, , , , , , ,2, , ,1
2014,2,1, , ,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,5, , ,17,1,3,1, ,1,2, ,1
2015,2,20, , ,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,5, , , , , , , ,1,1, ,1
2015,10,16, , ,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,5, ,M,1,1, , , ,1, , ,1
2016,5,9, , ,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,5, , ,1,1,4,1, ,1,1, ,1
2016,5,21, , ,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,5, , ,7,1,3,1,100,4, , ,1
2017,4,13, , ,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,5,2,P, , , , , ,1,2, ,1
2017,12,27, , ,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,5, ,T, , , , , ,2, , ,1
2003,7,12,Tsu, ,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,5,3, , , , , , , , , ,1
2006,5,20,Tsu, ,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,5,2,P, , , , , , , , ,1
2002,12,30,Tsu, ,Stromboli,Italy,Italy,38.789,15.213,926,5, , , , , ,1, ,1,1, ,1
2001,10,20, , ,Stromboli,Italy,Italy,38.789,15.213,926,5,2,T,1,1, , , , , , ,1
2007,9,30, , ,"Tair, Jebel at",Red Sea,Yemen,15.7,41.742,244,5, , ,7,1,1,1, , , , ,1
2004,6,8, , ,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,5,2,T,2,1,5,1, , , , ,1
2010,12,28, , ,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,5, , , , , , , ,1, , ,1
2006,7,18, , ,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,5,3, ,1,1, , , , , , ,1
2006,8,17, , ,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,5,3,T,5,1,13,1, ,3,3, ,1
2008,8,22, , ,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,5,3,M,2,1,2,1, ,1,1, ,1
2010,1, , , ,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,5,3, , , , , , ,1, , ,1
2010,11, , , ,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,5,3, , , , , , ,1, , ,1
2011,4, , , ,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,5,4, , , , , , ,1, , ,1
2013,9,1, , ,Ubinas,Peru,Peru,-16.355,-70.903,5672,5, , , , , , , ,1, , ,1
2011,7,9, , ,Katla,Iceland-S,Iceland,63.63,-19.05,1512,6, , , , , , , ,1, , ,0
